T,age,education,black,hispanic,married,nodegree,re75,loss_time,legal_issue,Y_cf0,Y_cf1
0,23,10,1,0,0,1,0,2.10952204,2.201479117,0,0
0,26,12,0,0,0,0,0,1.372352089,1.491449175,1,1
0,22,9,1,0,0,1,0,2.181924519,2.305299323,0,0
0,34,9,1,0,0,1,4368.413,2.221805641,2.34564354,1,1
0,18,9,1,0,0,1,0,1.885598476,1.846299177,1,1
0,45,11,1,0,0,1,0,1.725593882,1.596268801,1,1
0,18,9,1,0,0,1,0,2.628945017,2.755198237,1,1
0,27,12,1,0,0,0,2483.851,1.339992812,1.763059884,1,1
0,24,8,0,0,0,1,0,1.693862159,1.659520957,1,1
0,34,11,1,0,1,1,0,2.08144814,2.078222032,1,1
0,20,13,1,0,0,0,8965.243,0.69387254,0.853193301,1,1
0,24,4,0,1,0,1,0,1.783198182,1.800958757,1,1
0,28,12,0,0,0,0,803.343,0.549463641,0.781796567,1,1
0,21,10,1,0,0,1,922.5729,1.13843987,1.048382166,0,1
0,28,12,1,0,1,0,29009.11,-1.082123023,-1.481669797,1,1
0,20,12,1,0,0,0,6004.728,0.970676301,1.10345068,1,1
0,23,8,1,0,0,1,3403.056,1.412565503,1.33384469,0,1
0,21,11,1,0,1,1,7244.561,1.61313611,1.848888898,1,1
0,36,10,1,0,0,1,0,1.564216331,1.450084605,0,0
0,18,12,0,0,0,0,735.2051,0.458316962,0.282243389,1,1
0,21,14,1,0,0,0,0,2.719472057,2.651275726,1,1
0,30,13,1,0,0,0,5569.761,0.237802733,0.323200298,0,1
0,26,11,0,1,0,1,1491.016,1.510054119,1.692825444,0,1
0,28,9,1,0,0,1,0,1.536238705,1.363243056,0,0
0,31,4,0,0,0,1,10711.08,1.407783818,1.356251816,0,0
0,18,12,1,0,0,0,642.6645,1.606943415,1.747139311,1,1
0,27,7,1,0,1,1,0,1.495898015,1.35254421,0,0
0,19,11,0,0,0,1,0,2.093854438,2.147829,0,0
0,20,8,1,0,0,1,0,1.699369264,1.694472869,0,0
0,28,8,1,0,0,1,10610.08,1.552667993,1.649183754,1,1
0,34,12,1,0,0,0,0,1.295350154,1.280991943,1,1
0,24,10,1,0,0,1,0,2.587308259,2.904280108,1,1
0,24,9,1,0,0,1,0,1.962014959,1.956326626,1,1
0,22,8,0,1,0,1,0,1.510661661,1.435640198,1,1
0,25,11,1,0,0,1,0,2.302484708,2.424259167,1,1
0,20,11,0,0,0,1,1177.118,0.982108217,1.145845033,1,1
0,21,9,1,0,0,1,0,2.063073983,2.068522076,1,1
0,19,12,1,0,0,0,2814.195,0.703422931,0.507697452,1,1
0,39,9,1,0,0,1,0,1.182129099,1.336580151,0,0
0,19,9,1,0,1,1,0,2.039061658,2.066736832,1,1
0,24,10,1,0,0,1,1307.908,2.098148972,2.254358837,0,1
